---------------------------------------------------
                  Tie Point Pixel Residuals        
===================================================
PointId    Av.      Dev.        Nb.Obs.     State  
336          75.29    45.65     ( 7/ 7)      Used -
337          77.02    46.01     ( 7/ 7)      Used -
338          65.38    45.88     ( 7/ 7)      Used -
339          52.21    32.00     ( 7/ 7)      Used -
340          94.20    42.15     ( 7/ 7)      Used -
341          53.97    35.44     ( 7/ 7)      Used -
342          51.80    27.67     ( 7/ 7)      Used -
343          89.58    52.47     ( 7/ 7)      Used -
344          76.72    46.79     ( 7/ 7)      Used -
345          52.39    28.15     ( 7/ 7)      Used -
346        1177.67   874.18     ( 7/ 7)      Used -
347          51.09    29.98     ( 7/ 7)      Used -
348         932.38   955.32     ( 7/ 7)      Used -
349         104.34    51.83     ( 7/ 7)      Used -
350          93.40    49.02     ( 7/ 7)      Used -
351          45.85    18.36     ( 7/ 7)      Used -
352          53.88    32.75     ( 7/ 7)      Used -
353          24.82    25.66     ( 7/ 7)      Used -
354         797.74   297.73     ( 7/ 7)      Used -
355         520.08   851.80     ( 7/ 7)      Used -
356          91.17    38.12     ( 7/ 7)      Used -
357          83.45    39.80     ( 7/ 7)      Used -
358          70.03    46.91     ( 7/ 7)      Used -
359          44.82    20.61     ( 7/ 7)      Used -
360          44.98    28.98     ( 7/ 7)      Used -
361        1335.36  1214.59     ( 7/ 7)      Used -
362          52.02    26.28     ( 7/ 7)      Used -
363          47.84    32.64     ( 7/ 7)      Used -
364          90.90    49.77     ( 7/ 7)      Used -
365          97.60    15.24     ( 7/ 7)      Used -
366         101.10    16.29     ( 7/ 7)      Used -
367         102.14    43.82     ( 7/ 7)      Used -
368         110.78    30.41     ( 7/ 7)      Used -
369         363.14   722.57     ( 7/ 7)      Used -
370         671.76  1065.95     ( 7/ 7)      Used -
371         267.11   486.05     ( 7/ 7)      Used -
372         945.01   981.77     ( 7/ 7)      Used -
373         102.06    41.24     ( 7/ 7)      Used -
374        1094.28   905.16     ( 7/ 7)      Used -
375          90.84    59.49     ( 7/ 7)      Used -
376         829.11  1183.64     ( 7/ 7)      Used -
