-----------------------------------------------------
                   Tie Point Pixel Residuals         
=====================================================
PointId    Av.     Dev.       Nb.Obs.         State  
347          0.34    0.22     ( 7/ 7)          Used  
348          0.44    0.20     ( 5/ 7)          Used  
349          6.25   11.50     ( 7/ 7)          Used -
350          4.21    2.19     ( 7/ 7)          Used -
351          1.45    0.88     ( 7/ 7)          Used -
352          0.55    0.26     ( 7/ 7)          Used  
353          0.84    1.05     ( 7/ 7)          Used  
354          0.51    0.37     ( 6/ 7)          Used  
355         30.44   46.64     ( 5/ 7)          Used -
356          1.10    1.36     ( 7/ 7)          Used -
357          3.86    2.49     ( 7/ 7)          Used -
358          0.55    0.24     ( 7/ 7)          Used  
359          0.50    0.34     ( 7/ 7)          Used  
360          0.38    0.23     ( 7/ 7)          Used  
361          0.21    0.02     ( 4/ 7)          Used  
362          0.88    0.75     ( 7/ 7)          Used  
363          0.34    0.14     ( 7/ 7)          Used  
364          0.65    0.33     ( 7/ 7)          Used  
365          0.93    0.50     ( 7/ 7)          Used  
366          0.25    0.07     ( 7/ 7)          Used  
367          1.06    0.69     ( 7/ 7)          Used -
368          0.52    0.32     ( 7/ 7)          Used  
369          0.58    0.23     ( 7/ 7)          Used  
370          5.98    3.88     ( 5/ 7)          Used -
371          2.36    1.70     ( 6/ 7)          Used -
372         10.18    9.08     ( 4/ 7)          Used -
373          4.67    7.97     ( 7/ 7)          Used -
374          0.82    0.40     ( 4/ 7)          Used  
375          0.67    0.78     ( 7/ 7)          Used  
376          0.58    0.38     ( 5/ 7)          Used  
377          0.91    0.80     ( 6/ 7)          Used  
378          0.96    0.61     ( 5/ 7)          Used  
379          4.55    3.62     ( 7/ 7)          Used -
380          1.70    1.15     ( 7/ 7)          Used -
381          0.31    0.22     ( 5/ 7)          Used  
382          0.49    0.16     ( 6/ 7)          Used  
383          1.34    0.54     ( 7/ 7)          Used -
384         12.09    7.47     ( 7/ 7)          Used -
385          0.94    0.47     ( 7/ 7)          Used  
386          0.53    0.45     ( 7/ 7)          Used  
387          0.59    0.42     ( 7/ 7)          Used  
388          0.36    0.11     ( 7/ 7)          Used  
389          0.81    0.44     ( 7/ 7)          Used  
390          0.32    0.14     ( 7/ 7)          Used  
391          0.63    0.24     ( 7/ 7)          Used  
392          1.79    0.78     ( 7/ 7)          Used -
393          0.43    0.20     ( 7/ 7)          Used  
394          0.77    0.67     ( 6/ 7)          Used  
395         18.43   36.09     ( 5/ 7)          Used -
396          0.39    0.19     ( 7/ 7)          Used  
397          0.59    0.37     ( 7/ 7)          Used  
398          0.83    0.45     ( 4/ 7)          Used  
399          7.97    5.63     ( 4/ 7)          Used -
400          0.51    0.35     ( 7/ 7)          Used  
401          0.46    0.21     ( 7/ 7)          Used  
402          0.78    0.45     ( 7/ 7)          Used  
403          1.04    0.87     ( 7/ 7)          Used -
404          0.41    0.22     ( 7/ 7)          Used  
405          5.84    6.04     ( 5/ 7)          Used -
406          0.81    0.91     ( 7/ 7)          Used  
407          2.57    2.31     ( 7/ 7)          Used -
408          6.70   13.79     ( 7/ 7)          Used -
409         12.21   24.94     ( 6/ 7)          Used -
410          1.16    0.55     ( 7/ 7)          Used -
411          0.45    0.11     ( 7/ 7)          Used  
412          0.43    0.27     ( 7/ 7)          Used  
413          0.61    0.22     ( 7/ 7)          Used  
414          0.82    0.65     ( 4/ 7)          Used  
415         16.65   26.01     ( 5/ 7)          Used -
416          1.24    0.96     ( 4/ 7)          Used -
417          0.55    0.25     ( 7/ 7)          Used  
418          0.98    0.58     ( 7/ 7)          Used  
419          1.19    0.75     ( 7/ 7)          Used -
420          0.43    0.14     ( 7/ 7)          Used  
421          3.44    2.62     ( 5/ 7)          Used -
422          5.59    3.95     ( 7/ 7)          Used -
423          2.84    4.36     ( 7/ 7)          Used -
424          1.08    0.94     ( 7/ 7)          Used -
425          0.88    0.60     ( 7/ 7)          Used  
426          1.25    0.93     ( 7/ 7)          Used -
427          0.65    0.26     ( 4/ 7)          Used  
428          2.00    2.26     ( 7/ 7)          Used -
429          0.58    0.45     ( 7/ 7)          Used  
430          0.95    0.47     ( 7/ 7)          Used  
431          0.53    0.24     ( 7/ 7)          Used  
432          0.55    0.30     ( 7/ 7)          Used  
433          8.93   11.41     ( 6/ 7)          Used -
434          0.91    0.88     ( 4/ 7)          Used  
435          3.24    2.39     ( 7/ 7)          Used -
436          7.19   15.56     ( 7/ 7)          Used -
437          0.42    0.16     ( 7/ 7)          Used  
