---------------------------------------------------- beginning of /proc/kmsg
====================== ULOGCAT SESSION START  ======================
U 01-01 00:15:57.847 I PLRM_imaging(palermo-142/MainLoop-233)       : Set media path to '/tmp/mounts/usb/sda1/DCIM/0002'
U 01-01 00:15:57.848 I sensors     (sensors_main-116/server_pomp-208): [SERVER_POMP] server_event_cb : event=2(MSG) conn=0x76900600 msg=0x769017c8
U 01-01 00:15:57.848 I sensors     (sensors_main-116/server_pomp-208): [SERVER_POMP] HEATING_IMU_START (old f_heat_off: TRUE)
U 01-01 00:15:57.851 I tlmblackbox (telemetryd-105)                 : setEnabled 0
U 01-01 00:15:57.854 I sensors     (sensors_ir-309/server_pomp-314) : [SERVER_POMP] server_event_cb : event=2(MSG) conn=0xa26cc8 msg=0xa27e90
U 01-01 00:15:57.854 I sensors     (sensors_ir-309/server_pomp-314) : [SERVER_POMP] HEATING_IMU_START (old f_heat_off: TRUE)
U 01-01 00:15:57.857 I LIBIMAG_FSM (palermo-142/Img_FSM-345)        : State Changed: Ready(2) -> Timelapse_Starting(8)
U 01-01 00:15:57.884 I pomp_comm_c (civetitf-107/civetitf-205)      : client_generated_message_handler: received event SICILIA_ERROR
U 01-01 00:15:57.891 I PLRM_server (palermo-142/MainLoop-233)       : event_imu_heating_status: id=0 status=1
U 01-01 00:15:57.907 I tlmblackbox (telemetryd-105)                 : Closing file '/data/blackbox/sequoia_param.dat'
U 01-01 00:15:57.915 I pomp_comm_c (civetitf-107/client_pomp-201)   : client_generated_message_handler: received event SICILIA_ASYNC_EVT_IMU_HEATING_STATUS
U 01-01 00:15:57.931 I pomp_comm_c (mtp-server-272/client_pomp-319) : client_generated_message_handler: received event SICILIA_ASYNC_EVT_IMU_HEATING_STATUS
U 01-01 00:15:57.931 I PLRM_server (palermo-142/MainLoop-233)       : event_imu_heating_status: id=1 status=1
U 01-01 00:15:57.937 I pomp_comm_c (civetitf-107/client_pomp-201)   : client_generated_message_handler: received event SICILIA_ASYNC_EVT_IMU_HEATING_STATUS
U 01-01 00:15:57.960 I pomp_comm_c (mtp-server-272/client_pomp-319) : client_generated_message_handler: received event SICILIA_ASYNC_EVT_IMU_HEATING_STATUS
U 01-01 00:15:58.037 I tlmblackbox (telemetryd-105)                 : setLogDir '/tmp/mounts/usb/sda1/DCIM/0002'
U 01-01 00:15:58.121 I tlmblackbox (telemetryd-105)                 : setEnabled 1
U 01-01 00:15:58.122 I tlmblackbox (telemetryd-105)                 : rotate logs: '/tmp/mounts/usb/sda1/DCIM/0002/sequoia_param.dat.3' -> '/tmp/mounts/usb/sda1/DCIM/0002/sequoia_param.dat.4'
U 01-01 00:15:58.130 I tlmblackbox (telemetryd-105)                 : rotate logs: '/tmp/mounts/usb/sda1/DCIM/0002/sequoia_param.dat.2' -> '/tmp/mounts/usb/sda1/DCIM/0002/sequoia_param.dat.3'
U 01-01 00:15:58.131 I tlmblackbox (telemetryd-105)                 : rotate logs: '/tmp/mounts/usb/sda1/DCIM/0002/sequoia_param.dat.1' -> '/tmp/mounts/usb/sda1/DCIM/0002/sequoia_param.dat.2'
U 01-01 00:15:58.131 I tlmblackbox (telemetryd-105)                 : rotate logs: '/tmp/mounts/usb/sda1/DCIM/0002/sequoia_param.dat' -> '/tmp/mounts/usb/sda1/DCIM/0002/sequoia_param.dat.1'
U 01-01 00:15:58.132 I tlmblackbox (telemetryd-105)                 : Creating file '/tmp/mounts/usb/sda1/DCIM/0002/sequoia_param.dat'
U 01-01 00:15:58.330 I colibry     (sensors_ir-309/thread_main-310) : GPS fix with 7 satellites
